#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,polkit,manages user policies.
,libxft,Renders glyphs in the terminal
,libertinus-font,provides the sans and serif fonts for LARBS.
,ttf-font-awesome,provides extended glyph support.
,ttf-dejavu,properly displays emojis.
,node,Node JS
A,lf-git,is an extensive terminal file manager that everyone likes.
,ueberzug,enables previews in the lf file manager.
,bc,is a mathematics language used for the dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,arandr,allows the user to customize monitor arrangements.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,calcurse,terminal-based organizer for interactive and command line use
,exfat-utils,allows management of FAT drives.
,nsxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,ffmpegthumbnailer,creates thumbnail previews of video files.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,python-qdarkstyle,provides a dark Qt theme.
,neovim,a tidier vim with some useful features
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
A,librewolf-bin,is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default.
A,arkenfox-user.js,provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting.
,noto-fonts,is an expansive font package.
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,wireplumber,is the audio system.
,pipewire-pulse,gives pipewire compatibility with PulseAudio programs.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,maim,can take quick screenshots at your request.
A,abook,is an offline addressbook usable by neomutt.
,unclutter,hides an inactive mouse.
,unzip,unzips zips.
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,yt-dlp,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information and is used in the file browser.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool used for easy selection and location of files.
,bat,can highlight code output and display files and is used to generate previews in the file browser.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting-git,provides syntax highlighting in the shell.
